name,confidence_low,confidence_high,count,mean_confidence,direction_accuracy
AUDUSD_2025_30m_HGB,0.5,0.55,16508,0.5149934516251298,0.5168403198449236
AUDUSD_2025_30m_HGB,0.55,0.58,155,0.5720667385586542,0.5483870967741935
AUDUSD_2025_30m_HGB,0.58,0.6,0,,
AUDUSD_2025_30m_HGB,0.6,0.65,0,,
AUDUSD_2025_30m_HGB,0.65,1.0,15,0.8540165257619423,0.7333333333333333
AUDUSD_2025_30m_logistic,0.5,0.55,16226,0.5106689839342655,0.5167015900406755
AUDUSD_2025_30m_logistic,0.55,0.58,431,0.5514705882352943,0.5545243619489559
AUDUSD_2025_30m_logistic,0.58,0.6,0,,
AUDUSD_2025_30m_logistic,0.6,0.65,8,0.6295309012305521,0.125
AUDUSD_2025_30m_logistic,0.65,1.0,13,0.8967420808439258,0.5384615384615384
AUDUSD_2025_60m_HGB,0.5,0.55,16585,0.5106605405811677,0.5085921012963521
AUDUSD_2025_60m_HGB,0.55,0.58,58,0.5554351322158931,0.46551724137931033
AUDUSD_2025_60m_HGB,0.58,0.6,0,,
AUDUSD_2025_60m_HGB,0.6,0.65,22,0.6176470588235293,0.6363636363636364
AUDUSD_2025_60m_HGB,0.65,1.0,13,0.9031257498318356,0.8461538461538461
AUDUSD_2025_60m_logistic,0.5,0.55,16656,0.5116009156461254,0.5087656099903939
AUDUSD_2025_60m_logistic,0.55,0.58,22,0.5663255175002819,0.3181818181818182
AUDUSD_2025_60m_logistic,0.58,0.6,0,,
AUDUSD_2025_60m_logistic,0.6,0.65,0,,
AUDUSD_2025_60m_logistic,0.65,1.0,0,,
AUDUSD_2026_30m_HGB,0.5,0.55,10396,0.5090075338180152,0.4917275875336668
AUDUSD_2026_30m_HGB,0.55,0.58,684,0.5633072168373272,0.5672514619883041
AUDUSD_2026_30m_HGB,0.58,0.6,32,0.5869525907001778,0.5625
AUDUSD_2026_30m_HGB,0.6,0.65,1,0.6,1.0
AUDUSD_2026_30m_HGB,0.65,1.0,5,0.75,0.6
AUDUSD_2026_30m_logistic,0.5,0.55,10706,0.5171307925872604,0.5074724453577433
AUDUSD_2026_30m_logistic,0.55,0.58,16,0.5707318914342626,0.4375
AUDUSD_2026_30m_logistic,0.58,0.6,335,0.5840371098948856,0.5104477611940299
AUDUSD_2026_30m_logistic,0.6,0.65,41,0.611655881913331,0.5853658536585366
AUDUSD_2026_30m_logistic,0.65,1.0,20,0.6500000000000001,0.4
AUDUSD_2026_60m_HGB,0.5,0.55,11012,0.5156161761370884,0.5004540501271341
AUDUSD_2026_60m_HGB,0.55,0.58,0,,
AUDUSD_2026_60m_HGB,0.58,0.6,0,,
AUDUSD_2026_60m_HGB,0.6,0.65,1,0.634640030088626,0.0
AUDUSD_2026_60m_HGB,0.65,1.0,105,0.7327908558171339,0.6095238095238096
AUDUSD_2026_60m_logistic,0.5,0.55,10654,0.5170824686890686,0.5015956448282335
AUDUSD_2026_60m_logistic,0.55,0.58,463,0.5731922398589068,0.5485961123110151
AUDUSD_2026_60m_logistic,0.58,0.6,0,,
AUDUSD_2026_60m_logistic,0.6,0.65,1,0.6,0.0
AUDUSD_2026_60m_logistic,0.65,1.0,0,,
EURUSD_2025_30m_HGB,0.5,0.55,16135,0.5125937158667493,0.5065385807251317
EURUSD_2025_30m_HGB,0.55,0.58,468,0.5616127707907322,0.5641025641025641
EURUSD_2025_30m_HGB,0.58,0.6,0,,
EURUSD_2025_30m_HGB,0.6,0.65,0,,
EURUSD_2025_30m_HGB,0.65,1.0,59,0.6844785848640145,0.7288135593220338
EURUSD_2025_30m_logistic,0.5,0.55,16598,0.5146982198523209,0.5128931196529702
EURUSD_2025_30m_logistic,0.55,0.58,1,0.5734049656230246,1.0
EURUSD_2025_30m_logistic,0.58,0.6,59,0.58974358974359,0.5254237288135594
EURUSD_2025_30m_logistic,0.6,0.65,2,0.627526326058299,1.0
