feature_set,feature_count,test_year,validation_year,calibration,threshold,session,sizing,auc,trades,win_rate,avg_return,profit_factor,growth,max_dd,return_to_dd
BASE,30,2020,2019,PLATT,0.56,EXCLUDE_08_13,STRONG,0.531559,394,0.586294,0.000163,1.932628,0.066208,-0.007837,8.447838
BASE,30,2021,2020,ISOTONIC,0.6,ALL,STRONG,0.531594,271,0.560886,6e-05,1.446254,0.016496,-0.00834,1.977922
BASE,30,2022,2021,RAW,0.65,UTC_13_24,STRONG,0.530835,81,0.716049,0.000834,10.462803,0.06944,-0.003276,21.19514
BASE,30,2023,2022,PLATT,0.6,UTC_13_24,FIXED,0.527034,72,0.680556,0.000257,2.473979,0.018631,-0.006621,2.814088
BASE,30,2024,2023,ISOTONIC,0.55,UTC_13_24,FIXED,0.5209,615,0.569106,2.4e-05,1.108227,0.014522,-0.021667,0.670234
BASE,30,2025,2024,ISOTONIC,0.62,EXCLUDE_08_13,GENTLE,0.521831,123,0.601626,0.000117,1.571978,0.014473,-0.009727,1.487912
BASE,30,2026,2025,ISOTONIC,0.58,ALL,MODERATE,0.528253,325,0.624615,8e-05,1.561194,0.026285,-0.009604,2.736878
BASE_PLUS_REGIME,41,2020,2019,PLATT,0.56,ALL,STRONG,0.530892,386,0.585492,0.000173,1.77648,0.068609,-0.01028,6.674266
BASE_PLUS_REGIME,41,2021,2020,ISOTONIC,0.58,ALL,FIXED,0.532771,647,0.51932,1.2e-05,1.099711,0.008055,-0.011027,0.730504
BASE_PLUS_REGIME,41,2022,2021,RAW,0.65,ALL,STRONG,0.528705,117,0.675214,0.00049,2.713381,0.058337,-0.008949,6.519082
BASE_PLUS_REGIME,41,2023,2022,PLATT,0.6,UTC_13_24,STRONG,0.526881,87,0.597701,0.000229,2.610121,0.020098,-0.004989,4.028663
BASE_PLUS_REGIME,41,2024,2023,ISOTONIC,0.65,UTC_13_24,STRONG,0.519826,55,0.709091,0.000203,1.836478,0.011166,-0.004942,2.259521
BASE_PLUS_REGIME,41,2025,2024,ISOTONIC,0.6,ALL,FIXED,0.523435,99,0.585859,0.000156,1.878824,0.015582,-0.007015,2.221323
BASE_PLUS_REGIME,41,2026,2025,ISOTONIC,0.58,ALL,STRONG,0.534855,300,0.623333,0.000118,1.825282,0.035881,-0.005194,6.907786
BASE_PLUS_VOL_REGIME,54,2020,2019,PLATT,0.55,EXCLUDE_08_13,FIXED,0.530765,803,0.554172,7.9e-05,1.336287,0.065025,-0.010957,5.934506
BASE_PLUS_VOL_REGIME,54,2021,2020,PLATT,0.55,UTC_13_24,STRONG,0.532391,632,0.515823,2.3e-05,1.190407,0.014345,-0.008117,1.767273
BASE_PLUS_VOL_REGIME,54,2022,2021,RAW,0.65,ALL,STRONG,0.531677,95,0.652632,0.00026,2.095866,0.024846,-0.005854,4.244109
BASE_PLUS_VOL_REGIME,54,2023,2022,PLATT,0.56,UTC_21_24,STRONG,0.52552,291,0.546392,5.1e-05,1.248879,0.014887,-0.009513,1.564955
BASE_PLUS_VOL_REGIME,54,2024,2023,PLATT,0.56,EXCLUDE_08_13,FIXED,0.521621,628,0.593949,8.6e-05,1.326244,0.055321,-0.029139,1.898533
BASE_PLUS_VOL_REGIME,54,2025,2024,ISOTONIC,0.55,EXCLUDE_08_13,STRONG,0.525388,1020,0.543137,4.8e-05,1.205554,0.050243,-0.013215,3.802001
BASE_PLUS_VOL_REGIME,54,2026,2025,PLATT,0.58,UTC_13_24,FIXED,0.53323,181,0.729282,0.000163,2.559809,0.029844,-0.004216,7.079233
