feature_set,test_year,validation_year,calibration,threshold,session,sizing_policy,auc,trades,win_rate,avg_return,profit_factor,growth,max_dd,return_to_dd
BASE,2020,2019,PLATT,0.56,EXCLUDE_08_13,STRONG,0.531559,394,0.586294,0.000163,1.932628,0.066208,-0.007837,8.447838
BASE,2021,2020,ISOTONIC,0.6,ALL,STRONG,0.531594,271,0.560886,6e-05,1.446254,0.016496,-0.00834,1.977922
BASE,2022,2021,RAW,0.65,UTC_13_24,STRONG,0.530835,81,0.716049,0.000834,10.462803,0.06944,-0.003276,21.19514
BASE,2023,2022,PLATT,0.6,UTC_13_24,FIXED,0.527034,72,0.680556,0.000257,2.473979,0.018631,-0.006621,2.814088
BASE,2024,2023,ISOTONIC,0.55,UTC_13_24,FIXED,0.5209,615,0.569106,2.4e-05,1.108227,0.014522,-0.021667,0.670234
BASE,2025,2024,ISOTONIC,0.62,EXCLUDE_08_13,GENTLE,0.524496,132,0.621212,0.002859,15.196683,0.436299,-0.009727,44.854364
BASE,2026,2025,ISOTONIC,0.6,ALL,FIXED,0.526579,171,0.684211,0.000162,2.322168,0.027958,-0.004929,5.672163
CHAMPION,2020,2019,PLATT,0.58,EXCLUDE_08_13,STRONG,0.527962,134,0.544776,0.000264,1.967423,0.035816,-0.008805,4.0677
CHAMPION,2021,2020,PLATT,0.58,EXCLUDE_08_13,FIXED,0.535612,136,0.507353,2.1e-05,1.144665,0.002842,-0.005964,0.476601
CHAMPION,2022,2021,RAW,0.65,UTC_13_24,FIXED,0.527691,109,0.642202,0.000236,1.790246,0.025857,-0.01325,1.951564
CHAMPION,2023,2022,PLATT,0.55,UTC_21_24,STRONG,0.525596,353,0.549575,1e-06,1.005165,0.000278,-0.013262,0.020954
CHAMPION,2024,2023,ISOTONIC,0.58,UTC_13_24,MODERATE,0.519833,248,0.645161,6.8e-05,1.316641,0.016834,-0.019503,0.863158
CHAMPION,2025,2024,ISOTONIC,0.55,UTC_21_24,FIXED,0.528445,342,0.608187,0.000598,4.412625,0.218922,-0.014158,15.462922
CHAMPION,2026,2025,ISOTONIC,0.58,ALL,FIXED,0.53193,201,0.691542,0.000138,2.033613,0.027996,-0.004154,6.739238
